file	mean	variance	hash	
known-160.png	143.949173	2300.118896	ffe49ac8646e388e3f269a078373fd5329ffe9688ca6ab24c863c9798b8bddb2
known-577.png	119.051140	2688.077148	ffa33f6a28d2f7997dd2fd9c0047fb6e83f030007c701d9f6ae8b0ee3ea78a4d
known-225.png	146.904694	1553.232300	ff9ef4867ab149e2bb9bc2aa0ea50f86d3fac796ec44d41dea49313ba2844f05
known-754.png	128.676697	3628.629883	ff51e7928bedbf1eea6c987c826131305ee497ec1fa0c913c13a9cbccd537bca
known-172.png	131.736145	2532.976318	ff4d54704205e7f62c8c51585f1e17a49a0e69790cbdb183eeef3bc41c7e401c
known-339.png	149.125000	1510.866333	ff398c271cad6328b11fe624a86e68554d41e7e06fba1304bdaeac4d9c6837a1
known-269.png	131.958771	3400.680420	ff0c66ef0ec0d48abd45831d35f7d6485914727b517927e82e91cf0b0863d181
known-655.png	145.258484	5530.170410	fef156827de33101f0a3eb762b22c8cd7ba33bf2a187b52722276d01e14021d4
known-058.png	166.461594	1582.413452	fe56c13058c7843e1b9e957a0101cf4c7641804e196b621f7f3c3610e5d58431
known-881.png	152.165695	2068.025391	fd7d1f288728326cb654ab094ca15f51d5f5db9d8f1392473adbc828bf56653f
known-731.png	122.251991	2494.449219	fd20ec8f57b8dbbdc373d6a267317d7bd484736851be87f3dc71c0677aa4f8d1
known-436.png	148.503693	1377.116699	fcca3faa490732ec8ef429d1f8cb3e3aac376e0feaa3234ca1f95e8cd4d5fc86
known-630.png	135.180817	2369.015625	fcbff1107ba0658e1c0a95e13856f2be1bf23240631aa69c77b473d33ea2d370
known-799.png	166.625153	4091.914551	fcbbf6217912fe80d3eaa65ff7cea77fc612c9b262d222353d5a4537b4ed19e9
known-229.png	129.565063	3288.226318	fc708b1dd18a4c6476fa485963cd17db262793f1d8ab6478a7d6bbd9619254ec
known-213.png	156.032349	4228.003418	fbed464fce3fc91c6e32d42570d6addbcb025230b5be7611431817dad0fecc3c
known-623.png	150.014862	1811.055176	fbe606c55d070168147b665de2d45a8b13955e4ae0b8aeec9185e6c18490939b
known-981.png	105.080597	2840.075195	fb28bcbcdfd028c261aac1d3d6c432dd9f5f9a2252bbe91f3c118dbfca451322
known-822.png	136.308472	2731.970459	fa3c4f875b177cc17d134b82f78f392c9c0c22dff250c33b64043496feb65060
