time
0.044
0.032
0.031
0.031
0.032
0.031
0.030
0.030
0.030
0.031
0.031
0.030
0.031
0.030
0.031
0.031
0.031
0.030
0.030
0.031
0.030
0.030
0.031
0.031
0.031
0.030
0.032
0.032
0.032
0.031
0.037
0.033
0.034
0.033
0.032
0.031
0.030
0.031
0.030
0.030
0.031
0.031
0.032
0.031
0.031
0.030
0.031
0.031
0.031
0.030
0.030
0.030
0.030
0.031
0.030
0.030
0.030
0.031
0.031
0.030
0.030
0.030
0.030
0.030
0.031
0.030
0.030
0.030
0.030
0.031
0.030
0.030
0.030
0.032
0.033
0.031
0.031
0.030
0.031
0.031
0.031
0.030
0.031
0.030
0.030
0.031
0.031
0.032
0.031
0.031
0.031
0.031
0.031
0.030
0.031
0.031
0.030
0.031
0.030
0.030
